普通中文,客家汉字,Hakka Pronunciation,English Definition
鎬(挖土用),釘鋤,dang1 co2,Pick(n.)
鎬(挖土用),番釘,fan1 dang1,Pick(n.)
鐮刀(割禾用),禾鐮,vo2 liam2,Sickle (for reaping)
鐮刀(割草用),鐮刀,liam2 dau1,Sickle (for cutting grass)
柴刀,柴刀,cai2 dau1,Chopper for chopping wood
犁,犁,lai2,Plough(n.)
耙,耙,pa2,Harrow
水車(車水用),水車,sui3 ca1,Watermill for irrigation
風車(風穀用),風櫃,fung1 kui4,Windmill to get rid of empty paddy corns
打穀桶,拌桶,pan1 tung3,Threshing bucket
畚箕(畚穀用),簸箕,boi4 gi1,A shallow container for winnowing seeds
畚箕(畚垃圾用),畚臿,bun4 cap5,Dust pan (for scooping the trash)
土箕(挑土用),糞箕,bun4 gi1,Dust pan (for scooping the soil)
穀籮(盛穀用),籮,lo2,A large bamboo basket for keeping the paddy-rice
篩子,篩,si1,Sieve
磨(磨麵粉用),磨,mo4,Grind
礱(磨穀脫殼用),礱磨,lung2 mo4,Handmill
碓(統稱),碓,doi4,A tool for pounding rice
碓臼,碓坎,doi4 ham3,The rice pounding hole
碓杵,碓頭,doi4 teu2,Pestle
碾子(大小有無區別),碾子,lien4 zu3,Stone roller
石滾(壓地，打場用),石碌,sak6 luk5,Grindwheel (for pressing the ground)
曬穀場,禾庭,vo2 tang2,Grain-sunning ground
曬穀簟,穀笪,guk5 dat5,Grain-sunning container
扁擔,擔竿,dam4 gon1,Shoulder pole
繩子,索嫲,sok5 ma2,Rope
打樁,打樁,da3 zong1,Pound (strike on something continuously)
楔子,楔仔,siap5 zai3,Chock
(趕牛的)竹枝,竹檳子,zuk5 bin1 zai3,Bamboo lash
種麥子,點麥,diam4 mak6,Plant the wheat
(種子)出芽,暴芽,bau4 nga2,sprout
(種子)出芽,吥芽,but6 nga2,sprout
放牛,掌牛,zong3 ngiu2,Herding (the cow)
打柴,剁柴,dok6 cai2,Cutting firewood
趕集,投墟,teu2 hi1,Going to market place
去城裏,出墟,cut5 hi1,Go to the city
(用網)捕魚,網魚,miong3 ng2,Catch fish with net
(用手)捕魚,捉魚,zuk5 ng2,Catch fish by hand
築壩(攔河而築),作陂頭,zok5 bi1 teu2,Building dam
築堤(沿河而築),作河壆,zok5 ho2 bok5,Building bank
抽乾水塘,乾塘,gon1 tong2,Pump out the pond
戽水,戽水,fu4 sui3,(The action of) bailing out water
碾米,絞米,gau3 mi3,Grind the rice
菜園,菜園,coi4 yen2,Vegetable garden
種菜,種菜,zung4 coi4,Plant the vegetable
澆菜,淋菜,lim2 coi2,Water the vegetable
剖魚,劏魚,tong1 ng2,Kill fish (for cooking)
殺雞,劏雞,tong1 gai1,Kill chicken (for cooking)
宰豬,劏豬,tong1 zu1,Kill pig (for meat)
養雞,養雞,yong1 gai1,Raise chicken
養豬,養豬,yong1 zu1,Raise pigs
幹活,做東西,zo4 dung1 si1,Work
幹活,做事,zo4 se4,Work
買米,打米,da3 mi3,Buy the rice
買肉,買肉,mai1 ngiuk5,Buy the meat
淘米,洗米,se3 mi1,Wash the rice
做飯,煮飯,zu3 fan4,Cook
燜飯,燜飯,mun1 fan4,Stew rice
做菜,煮菜,zu3 coi4,Making dishes
(細火)炆,炆,mun1,Braise with slow fire
(清水)煮,煠,sap6,Boil
煲湯,煲順,bau1 sun4,Make soup
汆湯,淥順,luk5 sun4,Quick-boil soup
(湯)溢(出),湓,pun2,Spill over
涮碗,洗碗,se3 von3,Wash the dishes
擦(桌子),抹,mat5,Clean (the table)
收拾,撿,giam3,Tidy up
供養,養,yong1,Support (the old with money)
看家,掌屋,zong3 vuk5,Watch the door
縫(衣服),聯,lien2,Sew
漂洗(衣服),洗衫,se3 sam1,Rinse
晾乾,晾燥,lang2 zau1,Air dry
釘(被子),聯,lien2,Sew the quilt
釘(扣子),聯,lien2,Sew the button
繞(毛線),縈,yang1,Wind the wool
燒(開水),煮,zu3,Boil the water
灌(開水),入,ngip6,pouring (boiled water from kettle to thermos)
燙(傷),淥,luk6,Scald
失火,火燭,fo3 zuk5,Catch fire
失火,火燒屋,fo3 sau1 vuk5,Catch fire
(火)滅了,烏,vu2,Crush out
使勁(拉),出力,cut5 lit6,Pull furiously
安裝(鋤柄),斣,deu4,Install
修理(傢具),整,zin3,Repair (furniture)
修理(收音機),整,zin3,Repair (radio)
撿漏,撿瓦背,giam3 nga3 boi4,Check and mend the roof
揀(菜),擇,tok6,Trim vegetables for cooking
攢(錢),存,sun2,Save money
焙(尿布),炕,kong4,Dry the diaper over the fire
(用煙)熏(肉),熏,hiun1,Fume(the meat)
(用鹽)醃(肉),醃,yap5,Pickle (the meat)
(把開水)攤涼,攤,tang1,letting boiled water cool down naturally
稻子(整株植物),禾,vo2,Paddy
稻穀(脫粒後的穀子),穀,guk5,Grain
穀穗,禾串,vo2 con4,Ear of rice
秕穀,泛穀,pang4 guk5,Blasted grains
大米,米,mi3,Rice (grains)
糯米,糯米,lo4 mi3,Sticky rice
粳米,粘米,zam1 mi3,Rice
麥子,麥,mak6,Wheat
小米,狗尾粟,geu3 mui1 suk5,Millet
玉米,包粟,bau1 suk5,Maize
高粱,高粱粟,gau1 liong2 suk5,Sorghum
黃豆,黃豆,vong2 teu4,Soybean
豌豆,荷蘭豆,ho2 lan1 teu4,Snow pea
蠶豆,蠶豆,cam2 teu4,Broad bean
芝麻,油麻,yiu2 ma2,Sesame
豇豆,豆角,teu4 gok5,Cowpea
扁豆,刀豆,dau1 teu4,Haircot bean
紅薯,番薯,fan1 su2,Sweet potato
土豆,荷蘭薯,ho2 lan1 su2,Potato
土豆,薯仔,su2 zai3,Potato
花生,地豆,ti4 teu4,Peanut
花生米,地豆米,ti4 teu4 mi3,Peanut kernel
蘑菇,菇,gu1,Mushroom
板粟(大者),風栗,fung1 lit6,Chestnut (big)
毛粟(較小),粟子,lit6 zu3,Chestnut (small)
甘蔗,蔗,za4,Sugar cane
蔬菜,青菜,ciang1 coi4,Vegetable
菠菜,角菜,gok5 coi4,Spinach
洋白菜,黃芽白,vong2 nga2 pak6,Cabbage
茄子,矮瓜,ai3 ga1,Eggplant
絲瓜,絲瓜,se1 ga1,Sponge gourd
南瓜,金瓜,gim1 ga1,Pumpkin
冬瓜,冬瓜,dung1 ga1,Wax gourd
黃瓜,黃瓜,vong2 ga1,Cucumber
西紅柿,番茄,fan1 kio2,Tomato
蘿蔔,蘿蔔,lo2 pet6,Radish
胡蘿蔔,紅蘿蔔,fung2 lo2 pet6,Carrot
辣椒,辣椒,lat6 ziau1,Chili pepper
蕹菜,蕹菜,vung4 coi4,Water spinach
韭菜,韭菜,giu3 coi4,Chives
莧菜,莧菜,han4 coi4,Chinese spinach
芥菜,芥菜,gai4 coi4,Leaf mustard
芹菜,芹菜,kiun2 coi4,Celery
芫荽,芫荽,yen2 sui1,Chinese parsley
萵苣,脈菜,mak5 coi4,"Lettuce,Garland chrysanthemum"
木耳菜,潺菜,can2 coi4,Malabar Spinach Ceylon spinach
慈姑,牙姑,nga2 gu1,Chinese arrowhead
藕,蓮藕,lien2 leu1,Lotus root
荸薺,馬蹄,ma1 tai2,Chinese water chestnut
菱角,菱角,lin2 gok5,Water chestnut
蔥,蔥仔,cung1 zai3,"Spring onion, Shallot"
大蒜(整株),蒜仔,son4 zai3,Garlic (the whole plant)
蒜薹,蒜苗,son4 miau2,Garlic sprout
蒜頭(塊莖),蒜頭,son4 teu2,Garlic
薤,蕎頭,kiau1 teu2,Scallion
薑(塊莖),薑嫲,giong1 ma2,Ginger
(茶葉)梗,梗,gang3,Stalk
菜薹,菜心,coi4 sim1,Sprout of cabbage
菜(整株),菜,coi4,Vegetable including leaves and stalk
菜根(細根),菜根,coi4 gin1,Rootof the vegetable
菜秧(菜苗，供移栽),菜秧,coi4 yong1,Vegetable Seedling (for transplant)
浮萍,薸仔,piau2 zai3,Duckweed
水果(概稱),生果,sang1 go3,Fruit
桃兒(果),桃仔,tau2 zai3,Peach
杏兒(果),杏,hen4,Apricot
李子(果),李仔,li3 zai3,Plum prune
柿子(果),腍柿,lem2 se2,Persimmon
石榴,石榴,sak6 liu2,Pomegranate
梨(果),梨,li2,Pear
橘子(果),橘仔,git5 zai3,"Mandarin, tangerine"
橘子(果),柑仔,gam1 zai3,"Mandarin, tangerine"
柳丁(果),橙仔,zang2 zai3,Orange
柚子(果),碌仔,luk5 zai3,Pomelo
梅子(果),梅仔,moi2 zai3,Chinese plum
葡萄(果),葡萄子,pu2 tau2 zu3,Grape
櫻桃(果),櫻桃,yin1 tau2,Cherry
橄欖(果),欖,lam3,Olive
棗兒(果),紅棗,fung2 zau3,Date (fruit)
核桃(果),合桃,hap6 tau2,Walnut
山楂,山渣,san1 za1,Hawthorn
香蕉(果),牙蕉,nga2 ziau1,Banana
荔枝(果),荔果,lai1 go3,Lychee
龍眼(果),龍眼,lung2 ngan3,Longan
西瓜,西瓜,si1 ga1,Water melon
芽兒,筍,sun3,Bud
(果)核兒,核,fut6,Seed
(果)皮兒,皮,pi2,Peel
花兒,花,fa1,Flower
梅花,梅花,moi2 fa1,Chinese Plum blossom
杏花,杏花,hen4 fa1,Apricot blossom
桃花,桃花,tau2 fa1,Peach blossom
荷花,蓮花,lien2 fa1,Lotus flower
睡蓮,蓮花,lien2 fa1,Waterlily
桂花,桂花,gui4 fa1,Osmanthus flowers
杜鵑花,杜鵑花,tu4 gien1 fa1,Azalea
蘭花,蘭花,lan2 fa1,Orchid
雞蛋花,雞蛋花,gai1 tan4 fa1,Plumeria
茉莉花,茉莉花,mat6 li4 fa1,Jasmine
白蘭花,白玉蘭,pak6 ngiuk6 lan2,Gardenia
金銀花,手巾絮,siu3 gin1 sui1,Honeysuckle
菊花,菊花,kiuk5 fa1,Chrysanthemum
向日葵,向日葵,hiong4 ngit5 kui2,Sunflower
棉花,棉花,mien2 fa1,Cotton
槐樹,槐樹,fai2 su4,Pagoda tree
楓樹,楓樹,fung1 su4,Maple
楝樹,苦楝樹,fu3 lien4 su4,Azedarach tree
白千層,千重皮,cien1 cung2 pi2,Melaleuca
柳樹,柳樹,liu3 su4,Willow
桑樹,桑仔樹,song1 zai3 su4,Mulberry tree
桑葚兒,桑仔,song1 zai3,Mulberry
榕樹,榕樹,yung2 su4,Banyan tree
烏桕樹,烏桕樹,vu1 kiu1 su4,Chinese Tallow Tree
銀杏樹,白果樹,pak6 go3 su4,Gingo tree
梧桐樹,梧桐樹,ng2 tung2 su4,Chinese Parasol tree
茶樹(葉制茶),茶樹,ca2 su4,Tea plant
油茶樹,油茶樹,yiu2 ca2 su4,Camellia tree
棕櫚,棕櫚樹,zung1 li1 su4,Palm tree
樟樹,樟樹,zong1 su4,Camphor tree
竹子(小),竹,zuk5,Bamboo
毛竹(大),車桐竹,ca1 tung2 zuk5,Maso Bamboo (Phyllostachys)
竹根,竹根,zuk5 gin1,Root of bamboo
竹衣,竹衣,zuk5 yi1,Bamboo leaf and stalk
竹筍,竹筍,zuk5 sun3,Bamboo shoot
竹篾,篾仔,met6 zai3,Bamboo splint
茅草,書友草,su1 yiu1 cau3,Cogongrass
蕨,榔箕,long1 gi1,Fern
青苔,溜苔,liu1 toi2,Moss
蘆葦,蘆茅,lu2 mau2,Reed
艾,艾,ngioi4,Mugwort
樹枝,樹桍,su4 ka1,Branch
樹梢,樹尾,su4 mui1,Treetop
樹樁,樹頭,su4 teu2,Stump
樹葉,樹葉,su4 yap6,Leaf
粽葉,裹粽葉,go3 zung4 yap6,Leaf for rice dumpling
(樹上的)刺,竻,let5,Thorn
杉樹,杉樹,cam4 su4,Fir
柏樹,柏樹,pak5 su4,Cypress
松樹,松樹,cung2 su4,Pine
松球,松雞角,cung2 gai1 gok5,Pine cone
松針,松毛,cung2 mau1,Pine leaf
松明子,松光仁,cung2 gong1 yin2,Pine oil
橡膠(原料),樹膠,su4 gau1,Latex (for making rubber)
木頭,木頭,muk5 teu2,Wood
牲畜(概稱),頭牲,teu2 sang1,Animals
水牛,水牛,sui3 ngiu2,Buffalo
黃牛,黃牛,vong2 ngiu2,Yellow cattle
公牛,牛牯,ngiu2 gu1,Bull
母牛,牛嫲,ngiu2 ma2,Cow
牛犢,牛仔,ngiu2 zai3,Calf
牛角,牛角,ngiu2 gok5,Horns of the cattle
蹄子,蹄,tai2,Hoof
(牛用角)頂,吥,but5,Cattle fighting with horns
羊,羊,yong2,Sheep
公羊,羊牯,yong2 gu3,Ram
母羊,羊嫲,yong2 ma2,Ewe
羊羔,羊仔,yong2 zai2,Lamb
豬,豬,zu1,Pig
公豬,豬牯,zu1 gu3,Boar
種豬,豬家,zu1 ga1,Breeder boar
母豬,豬嫲,zu1 ma2,Sow
閹豬(被閹割的豬),肉豬,ngiuk5 zu1,Hog
小豬,豬仔,zu1 zai3,Piglets
(豬)下仔,養豬仔,yong1 zu1 zai3,To give birth to a pig
(豬、牛)交配,走水,zeu3 sui3,Mating (of animals)
狗,狗,geu3,Dog
公狗,狗牯,geu3 gu3,Male dog
母狗,狗嫲,geu3 ma2,Bitch
母狗,沒生養過的狗牸,mat6 sang1 yong1 go4 dit5 geu3 ci4,Bitch
(狗)叫,吠,poi4,(Dog) barks
貓,貓,miau4,Cat
公貓,貓牯,miau4 gu3,Tomcat
母貓,貓嫲,miau4 ma2,Female cat
母貓,沒生養過的貓牸,mat6 sang1 yong1 go4 dit5 miau4 ci4,Female cat
(貓)尋偶晚上號叫,貓起群,miau4 hi3 kiun2,(Cats) howl (for mating)
公雞,雞公,gai1 gung1,Rooster
母雞,雞嫲,gai1 ma2,Hen
母雞,雞僆,gai1 lon4,Young Hen (hasn't had kids)
閹雞,閹雞,yam1 gai1,Castrated chicken
小雞,雞仔,gai1 zai3,Chicken
菢窩母雞,賴伏雞嫲,lai4 pu4 gai1 ma2,Broody hen
雞蛋,雞春,gai1 cun1,Chicken Egg
雞胗,雞胗,gai1 kin1,Chicken’s gizzard
(雞)下蛋,生春,sang1 cun1,Lay an egg
孵(小雞),伏,pu4,Incubate (chicken)
(雞)翻(食物),蹣,pan2,(Hen) rummaging food by claw
(雞)翻(食物),抄,cau4,(Hen) rummaging food by claw (alt.)
(雞)翻(食物),跒,kia4,(Hen) rummaging food by claw (alt.)
(公雞)叫,啼,tai2,(Rooster) Crowing
(雞)啄(米)(拾食),啄,duk5,Peck (the rice)
(雞)啄(蜈蚣)(啄咬),噹,diong1,Peck and eat
(雞)交配,打踏,da3 tap6,Mating copulation (of chicken)
鵝,鵝,ngo2,Goose
鴨子,鴨,ap5,Duck
野獸,野性,ya1 sin4,Wild animal
老虎,老虎,lau4 fu3,Tiger
獅子,獅子,su1 zu3,Lion
豹子,豹,bau4,Leopard
狼,狼,long2,Wolf
狐狸,狐狸,fu2 li2,Fox
猴子,猴哥,heu2 go1,Monkey
猴子,馬騮,ma1 liu1,Monkey
鹿,鹿,luk6,Deer
兔子,兔仔,tu4 zai3,Rabbit
老鼠,老鼠,lau4 cu3,Mouse
鳥,鳥仔,diau1 zai3,Bird
麻雀,禾鷝子,vo2 bit5 zai3,Sparrow
喜鵲,鴉鵲,a1 siak5,Magpie
烏鴉,老鴉,lau3 a1,Crow
大雁,雁鵝,ngan4 ngo2,Wild goose
老鷹,鷂婆,yau4 po2,Eagle
老鷹,牙鷹,nga2 yin1,Eagle
貓頭鷹,貓頭鳥,miau4 teu2 diau1,Owl
燕子,燕仔,yen4 zai3,Swallow (name of a bird)
蝙蝠,蝠婆,pit6 po2,Bat
蝙蝠,蚊鼠,mun1 cu3,Bat
鴿子,月鴿,ngiet6 gap5,Dove
鴿子,白鴿,pak6 gap5,Dove
八哥,鷯哥,liau4 go1,Myna
(鳥)蛋,春,cun1,Egg (of a bird)
(鳥)窩,竇,deu4,Nest
翅膀,翼,yit6,Wing
尾巴,尾,mui1,Tail
搖(尾巴),揈,vin4,Waving the tail
爪子,腳爪,giok5 zau3,Claw
蜘蛛,蝲蜞,la2 kia2,Spider
螞蟻,蟻公,li1 gung1,Ant
螞蟻,蟻子,li1 zu3,Ant
蚯蚓,蟲蚿,cung2 hien3,Earthworm
蜈蚣,蜈蚣蟲,ng2 gung1 cung2,Centipede
蚰蜒(似蜈蚣，無毒),硬殼蟲,ngang4 hok5 cung2,House centipede (non-poisonous)
壁虎,壁蛇,biak5 sa2,House lizard
蒼蠅,鳥蠅,vu1 yin2,Fly
牛虻(黃色，似蒼蠅),牛鳥蠅,ngiu2 vu1 yin2,Gadbee
(蒼蠅)叮,摟,leu1,(A Fly) Eating
蚊子,蚊,mun1,Mosquito
蠓蟲,齧仔,ngat5 zai3,Midge
(蚊子)叮,叼,diau1,(Mosquito) Bite
臭蟲,乾蜱,gon1 bi1,Bedbug
跳蚤,狗虱,geu3 sit5,Flea
蝨子,虱嫲,sit5 ma2,Louse
蟑螂,黃曱,vong2 cat6,Cockroach
蜻蜓,黃蜊,vong2 li1,Dragonfly
蟬,知焱,zi1 yam4,Cicada
蝴蝶,蝴蝶,fu2 tiap5,Butterfly
螳螂,豹虎哥,bau4 fu3 go1,Mantis
蚱蜢,蜢公,mang3 gung1,Grasshopper
螢火蟲,火焰蟲,fo3 yam4 cung2,Firefly
蜜蜂,蜜仔,mit6 zai3,Honeybee
黃蜂,禾蜂,vo2 fung1,Wasp
(蜂)窩,竇,deu4,Beehive
(蜂)蜇,叼,diau1,Sting
蟋蟀,草織,cau3 git5,Cricket
蝌蚪,鯰哥仔,ngiam4 go1 zai3,Tadpole
青蛙(青皮田蛙),蛤蟆,ha2 ma2,Frog
癩蛤蟆,蟾蜍,kiem2 su2,Toad
蠶,蠶蟲,cam2 cung2,Silkworm
烏龜,烏龜,vu1 gui1,Tortoise
鱉,腳魚,giok5 ng2,Soft-shelled turtle
蝦,蝦公,ha2 gung1,Shrimp
泥鰍,湖鰍,fu2 ciu1,Loach
蛇,蛇哥,sa2 go1,Snake
螞蝗,湖蜞,fu2 ki2,Leech
蚌,蚌,pong1,Clam
蝸牛(有殼),吔螺蟲,ye2 lo2 cung2,Snail
蛞蝓(無殼),冷蜞,lang1 ki2,Slug
