普通中文,客家汉字,Hakka Pronunciation,English Definition
丈夫,老公,lau3 gung1,Husband
妻子,老婆,lau3 po2,Wife
岳父,丈人佬,cong1 ngin1 lau3,Father-in-law (wife’s father)
岳母,丈人婆,cong1 ngin1 po2,Mother-in-law (wife’s mother)
公公,家官,ga1 gon1,husband’s father
婆婆,家娘,ga1 ngiong2,husband’s mother
親家,且姆,cia1 me1,Parents-in-law
繼父,繼父爺,ge4 fu1 ya2,Step father
繼母,後娭,heu4 oi1,Step mother
乾爹,契爺,ke4 ya2,Adopted father
乾媽,契媽,ke4 ma2,Adopted mother
兒女,子女,zu3 ng3,Children
兒子,賴子,lai4 zu1,Son
最小的兒子,滿仔,man1 zai3,Youngest son
兒媳,心臼,sim1 kiu1,Daughter-in-law
女兒,妹子,moi4 zu1,Daughter
最小的女兒,滿女,man1 ng3,Youngest daughter
女婿,婿郎,se4 long2,daughter’s husband
孫子,孫仔,sun1 zai3,Grandson (son’s son)
孫女,孫女,sun1 ng3,Granddaughter (son’s daughter)
重孫,息子,sit5 zu3,Great grandson
外孫,外孫,ngoi4 sun1,Daughter’s son
外孫女,外孫女,ngoi4 sun1 ng3,Daughter’s daughter
外甥,外甥,ngoi2 sang1,(Man’s address to his) Sister’s son
外甥女,外甥女,ngoi2 sang1 ng3,(Man’s address to his) Sister’sdaughter
侄子,侄仔,cit5 zu3,Nephew (Brother’s son)
侄女,侄女,cit5 ngi3,Niece (Brother’s daughter)
父子倆,兩子爺,liong3 zu3 ya2,Father and son
夫妻倆,兩公婆,liong3 gung1 po2,Husband and wife
兄弟,兄弟,hiung1 ti4,Brothers
姐妹,姊妹,zi3 moi4,Sisters
兄弟倆,兩兄弟,liong3 hiung1 ti4,Elder brother and younger brother
姐妹倆,兩姊妹,liong3 zi3 moi4,Elder sister and younger sister
兄妹倆,兩姊妹,liong3 zi3 moi4,Elder brother and younger sister
姐弟倆,兩姊妹,liong3 zi3 moi4,Elder sister and younger brother
堂兄弟,叔伯兄弟,suk5 bak5 hiung1 ti4,Cousins (the sons of two brothers)
表姐妹,表姊妹,biau3 zi3 moi4,Cousins (the daughters of sisters)
親戚,親戚,cin1 cit5,Relatives
輩份,字輩,su4 bui4,Seniority in the family
小名,花名,fa1 miang2,Pet name
綽號,花名,fa1 miang2,Nick name
說親,做媒人,zo4 moi2 ngin2,Match-making
媒人,媒人婆,moi2 ngin2 po2,Matchmaker
訂婚,定婚,tin4 fun1,To be engaged
娶妻,娶老婆,ci3 lau3 po2,"Have a wife, Marry a women"
嫁人,嫁老公,ga4 lau3 gung1,"Have a husband, Marry a man"
娶兒媳婦,娶心臼,ci3 sim1 kiu1,Get a daughter-in-law
招贅(招婿上門),招郎入舍,zau1 long2 ngip5 sa4,Get a son-in-law (to live with wife’s parents)
新郎,新娘公,sin1 long2 gung1,Bridegroom
新娘,新娘,sin1 ngiong2,Bride
辦酒席,做酒,zo4 ziu3,Hold a banquet
赴宴,食酒,sit6 ziu3,Attend a banquet
娘家,妹家,moi4 ga1,Parent’s home (of a married women)
再嫁,番嫁,fan1 ga4,Remarry a man
再嫁,番頭嫁,fan1 teu2 ga4,Remarry a man
續弦,再娶,cai4 ci3,Remarry a woman
懷孕,大肚胈,tai4 du3 pat6,Be pregnant
害喜(妊娠反應),發子,bot5 zu3,Pregnancy reaction
流產,損身,sun3 sin1,"Miscarriage, Abortion"
孕婦,大肚婆,tai4 du3 po2,Pregnant woman
臨盆,打斗,da3 deu3,About to give birth to a baby
生孩子,養阿伢,yong1 o1 nga2,Give birth to a child
難產,養唔出,yong1 m1 cut5,"Dystocia, Difficult labour"
接生,接生,ziap5 sang1,Deliver a child
胎盤,胞衣,bau1 yi1,Placenta
雙胞胎,孖仔,ma1 zai3,Twins
嬰兒,阿伢,o1 nga2,Infant
坐月子,做月,zo4 ngiet6,Confinement in childbirth
餵奶,供嬭,giung4 len4,Breast-feed
喂飯,飼飯,ci3 fan4,Spoon feed
奶嘴,嬭嘴,len4 zui3,Nipple of a feeding bottle
把尿,兜尿,deu1 ngiau4,Hold a child to urinate
尿床,瀨尿,lai2 ngiau4,Bed-wetting
擦屁股,擯屎,bin3 si3,Wipe the buttocks
夭折,短命,don3 miang4,Die at young age
上吊,吊頸,diau4 giang3,Suicide by hanging oneself
投河,投河,teu2 ho2,Suicide by jumping into the river
病死了,病死嗨,piang4 si3 hoi1,Die of illness
去世,過身,go4 sin1,Die
去世,老嗨,lau3 hoi1,Die
辦喪事,做白事,zo4 pak6 su4,Hold a funeral
棺材,棺材,gon1 coi2,Coffin
入殮,入殮,ngip6 liam1,Encoffin
出殯,送葬,sung4 zong4,Funeral
下葬,埋,mai2,Bury
紙錢,溪錢,kai1 cien2,Paper currency for offering to the dead
抬棺人,棺材佬,gon1 coi2 lau3,The people who carry the coffin
鞭炮,爆仗,bau4 cong4,Firecracker
墳,墳頭,fun2 teu2,Grave
墓碑,碑石,bi1 sak6,Gravestone
上墳,掛山,ga4 san1,Visit the grave
生病,病嗨,piang4 hoi1,Be sick
難受,難頂,lan2 din3,Uncomfortable
發燒,發燒,fat5 sau1,Have a fever
發冷,發冷,bot5 lang1,Be chilly
發呆,發呆,fat5 ngoi2,Be stupefied
打冷戰,打陣冥,da3 cin3 min3,Be shivery
感冒,傷風,song1 fung1,Catch a cold
瘧疾,發大冷,bot5 tai4 lang1,Malaria
發抖,吃吃震,git6 git6 zun1,Shiver
哮喘,發呷,bot5 hap5,Asthma
咳嗽,凵,kiem3,Cough
著涼,冷倒,lang1 dau3,Catch cold
中暑,發痧,bot5 sa1,Heat stroke
上火,熱氣,ngiet6 hi4,Have excessive internal heating the body
惡心,作嘔,zok5 eu1,Nausea
便秘,屙屎唔出,o1 si3 m1 cut5,Constipation
拉肚子,肚胈屙,du3 pat6 o1,Diarrhea
不消化,唔消化,m1 siau1 fa4,Apepsia
頭暈,頭那暈,teu2 la1 vin2,Dizzy
嘔吐,嘔,eu3,Vomit
(肚子)疼,痛,tung4,Pain
抽筋,抽筋,ciu4 gin1,Have a cramp
(小兒)驚風,著驚,cok6 giang1,Infantile convulsion
收驚,喊同年,ham4 tung2 ngien2,A superstitious way to cure infantile convulsion
出麻疹,出麻仔,cut5 ma2 zai3,Have measle
癲癇,發死,bot5 si3,Epilepsy
中風,發癱風,bot5 tan1 fung1,"Apoplexy, paralysis"
肺結核,發癆嗽,bot5 lau2 seu1,"Pulmonary tuber-culosis, Phthisic"
肝病,發黃腫,bot5 vong2 zung3,"Hepatopathy, Jaundice"
癤子,發痤仔,bot5 coi2 zai3,Furuncle
痱子,熱痱,ngiet5 mui3,Prickly heat
粉刺,長球,zong3 kiu2,Pimple
化膿,貢膿,gung4 lung2,Fester
痂,庀,pi3,Scab (n.)
結痂,結庀,giet5 pi3,Scab (v.)
疤,疤,ba1,Scar
痣,痣,zi4,Nevus (mole)
狐臭,狐忽臊,fu2 fit6 sau1,Armpit odour
疝氣,大核卵,tai4 hak6 lon3,Hernia
雀斑,烏蠅屎,vu1 yin2 si3,Flecker
雞皮疙瘩,雞嫲皮,gai1 ma2 pi2,Gooseflesh (keratosis pilaris)
(蚊蟲叮的)包,蚊伏,mun1 puk6,Bump
(蚊蟲叮的)包,蚊膀,mun1 pong2,Bump
夜盲,發雞盲,bot5 gai1 mang2,Night blindness
痲瘋,痲瘋,ma2 fung1,Leprosy
傳染,迣人,ce4 ngin2,Infect
扭傷,拉倒,lai3 dau3,Wrench
突然坐著跌在地上,打扽坐,da3 dun4 co1,Fall suddenly sitting on the ground
(皮膚)皸裂,爆趼公,bau4 gien1 gung1,Chap (the skin is too dry and chapped)
(嗓子)嘶啞,啞,a3,Hoarse
治病,看病,gon4 piang4,See the doctor
號脈,打脈,da3 mak5,Feel pulse
中藥,中藥,zung1 yok6,Traditional Chinese medicine
處方,藥單,yok6 dan1,Medical Perscription
買藥,撿藥,giam3 yok6,Buy the medicine
藥丸,丸仔,yen2 zai3,Pill
藥粉,藥粉,yok6 fun3,Medicine in form of powder
熬藥,煲涼茶,bau1 liong2 ca2,Decoct medicinal herbs
湯藥,茶,ca2,Tisane
見效,見功,gien4 gung1,Take effect
(睡)醒了,睡醒,soi4 siang3,Wake up
起床,亢身,hong4 sin1,Get up
疊(被子),疊,tiap6,Fold up the quilt
穿(衣服),著,zok5,Put on (clothes)
洗臉,洗面,se3 mien4,Wash face
梳頭,梳頭,so1 teu2,Comb the hair
紮(辮子),拼,pin1,Tie a braid
刮(鬍子),剃,tai4,Shave
理髮,剃頭,tai4 teu2,Hairdressing
上工,做工,zo4 gung1,go to work
(來)晚(了),遲,ci2,Be late
收工,收工,siu1 gung1,Get off the work
累(了),攰,kioi4,Be tired
休息,敨,teu3,Have a rest
回家,轉屋下,zon3 vuk5 ka1,Go home
上(廁所),去,hi4,Go to the washroom
大便,屙屎,o1 si3,Shit(v)
小便,屙尿,o1 ngiau4,Urinate
放屁,打屁,da3 pi4,Break wind
洗澡,沖涼,cung1 liong2,Take a bath
擦澡,抹身,mat5 sin1,Rub onself down with a wet towel
乘涼,敨涼,teu3 liong2,Sit in the shade and enjoy the coolness
曬(太陽),曬一般,sai4 yit5 ban1,Bask in the sun
曬(太陽),炙冬天,zak5 dung1 tien1,Bask in the sun (alternative)
烤火,炙火,zak5 fo3,Warm oneself before the fire
聊天,講水古,gong3 sui3 gu1,Chat
打瞌睡,啄目睡,duk5 muk5 soi4,Doze
打個盹兒,眯一下,mi1 yit5 ha4,Have a nap
打哈欠,擘囉,mak5 lo4,Yawn
打噴嚏,打哈嗤,da3 at6 ci4,Sneeze
鋪床,迒眠床,hong2 min2 cong2,Make the bed
躺下,眠下,min2 ha1,Lie down
睡覺,睡目,soi3 muk5,Sleep
熄燈,烏燈,vu1 den1,Turn off the light
睡著(了),睡落覺,soi4 lok5 gau4,Fall asleep
做夢,發夢,bot5 mung4,Have dream
說夢話,講夢話,gong3 mung4 va4,Talk in one’s sleep
失眠,睡唔落覺,soi4 m1 lok5 gau4,Sleepless
打鼾,扯鼻鼾,ca3 pi4 hon2,Snore
仰面睡,挺挺仰睡,ten3 ten3 ngong1 soi4,Sleep face up
側身睡,打側睡,da3 zet5 soi4,Lie down on one side
扒著睡,罯罯伏,am3 am3 puk5,Sleep face down
落枕,失枕,sip5 zim3,Stiff neck
學校,學堂,hok6 tong2,School
啟蒙,破學,po4 hok6,Enlighten
上學,去學堂,hi4 hok6 tong2,Go to school
上學,返學,fan1 hok6,Go to school
放學,放學,fong4 hok6,After school
書,書,su1,Book
本子,簿仔,pu1 zai3,Notebook
老師,教書先生,gau1 su1 sin1 sang1,Teacher
學生,學生,hok5 sang1,Student
第一名,頭名,teu2 miang2,"Number 1, champion"
最後一名,第尾,ti4 mui1,The last one
毛筆,毛筆,mau1 bit5,Brush pen
鋼筆,水筆,sui3 bit5,Fountain pen
鉛筆,鉛筆,yen2 bit5,Pencil
筆套兒,筆筒套,bit5 tung2 tau4,Pen cover
紙,紙,zi3,Paper
圖釘,撳釘,kim4 dang1,Thumb pin (thumb tack)
信封,信筒,sin4 tung2,Envelope
信紙,信肉,sim4 ngiuk5,Letter pad
漿糊,漿糊,ziong1 fu2,Paste
小刀兒,刀仔,dau1 zai3,Knife
削(鉛筆),砒,pai1,Sharpen
尺,尺,cak5,Ruler
橡皮擦,擦紙膠,cat5 zi3 gau1,Eraser
橡皮筋,橡筋,siong4 gin1,"Elastic, rubber bands"
台硯,墨湖,met6 fu2,Ink-stone
墨,墨,met6,Chinese ink
墨汁,墨汁,met6 zip5,Prepared Chinese ink
墨水,墨水,met5 sui3,Ink
掭(筆),蘸,ziam3,Dip (ink with brush pen)
洇(紙),漬,zi4,(Ink) spread and sink inpaper
草書,草,cau3,Cursive
(用筆)塗抹,塗,tu2,Daub (smear)
逃學,逃學,tau2 hok6,Skip the class
考試,考試,kau3 si4,Examination
罰站,徛堂,ki1 tong2,Stand as a punishment
圖章,印仔,yin4 zai3,Stamp (seal)
徽章,襟章,kim1 zong1,Badge
郵局,郵局,yiu2 kiuk6,Post office
郵票,郵票,yiu2 piau4,Stamp
相片,相片,siong4 pien4,Photo
電影,影畫戲,yang3 fa4 hi4,Film (movie)
電影,電影,tien4 yang3,Film (movie)
畫兒,畫,fa4,Picture
對聯,對,dui4,Spring couples
玩兒,聊,liau4,Play
球,波,bo1,Ball
踢足球,踢足球,tiak5 zuk5 kiu2,Play football
蕩鞦韆,打韆鞦,da3 cin1 ciu1,Play the swing
放風箏,放紙鷂,fong4 zi3 yau4,Fly a kite
講故事,講古仔,gong3 gu3 zai3,Tell a story
唱歌,唱歌,cong4 go1,Sing
哨子,銀雞,ngiun2 gai1,Whistle (n.)
吹口哨,打符繡,da3 fu2 siu4,Whistle (v.) with the mouth
簫,簫,siau1,vertical bamboo flute
吹笛子,吹笛,cui1 tiak6,Play flute
下棋,捉棋,zok5 ki2,Play chess
抓牌,摸牌,mo1 pai2,Play cards / Mahjong
游泳,游水,yiu2 sui3,Swim
潛水,沕水,mi4 sui3,Dive
打水漂,打水片,da3 sui3 pien3,Skip stone on the water
擺弄(玩具),搞,gau3,Play with (toy)
會武術,曉功夫,hiau3 gung1 fu1,Can play kung-fu
變魔術,撮把戲,cot5 ba3 hi4,Perform magic
翻跟鬥（斗？）,打翻車,da3 fan2 ca1,Somersault
掃堂腿,勾腳,giu1 giok5,Use leg to stumble someone (martial art)
捉迷藏,屏人子,biang4 ngin2 zu1,Hide-and-seek
撓癢癢,捻,liem1,Scratch an itch
跳房子,跳飛機,tiau4 fui1 gi1,Hopscotch
舞龍,舞龍,mu3 lung2,Dragon dance
拉二胡,拉二弦,lai1 ngi4 hien2,Play erhu (Chinese two-string fiddle)
放鞭炮,打爆仗,da3 bau4 cong4,Shoot off firecrackers
騎脖子,騎馬度,ki2 ma1 dok6,Ride on one’s shoulder
倒立,起種竹,hi3 zung4 zuk5,handstand
面具,鬼面殼,gui3 mien4 hok5,Mask
猜拳,猜枚,zai1 moi2,A finger-guessing game
抓鬮,拈鬮,ngiam1 kiu1,Lot
壓歲錢,磧年利市,zak5 ngien2 li4 si4,New Year lucky money
請客,擺酒,bai3 ziu3,"Treat or entertain guests, prepare a banquet"
送禮,搭人世,dap5 ngin2 se4,Send a gift
收禮,接禮,ziap5 li1,Receive a gift
感謝,多謝,do1 cia4,Thanks
稀客,生客,sang1 hak5,An infrequent visitor
請坐,請坐,ciang3 co1,Sit down please
講客氣,客氣,hak5 hi4,Be polite
斟(茶),退茶,tui4 ca2,Serve the tea
散(煙),派,pai4,Serve the cigarette
開始,開頭,hoi1 teu2,Start
入席,坐席,co1 cit6,Sit down to dinner
上菜,上菜,song1 coi4,Serve the dish
倒酒,倒酒,dau3 ziu3,Pour wine
乾杯,乾杯,gon1 bui1,"Cheers, drink a toast"
慢走,慢慢行,man4 man4 hang2,Go home slowly (a polite word similar to “Good-Bye”)
胡說,亂嗑,lon4 kap5,Nonsense
招待,招呼,zau1 fu1,Entertain
叩頭,拜,bai4,Kowtow
作揖,唱惹,cong4 ya1,bow with hands folded in front
風光,威風,vui1 fung1,Proudhearted
擺闊,擺面子,bai3 mien4 zu3,Flaunt one’s wealth
充好漢,充好漢,cung1 hau3 hon4,pose as a hero
丟臉,見笑,gien4 siau4,Lose face
受累,連累,lien2 lui4,Got involved in a trouble
難為你,難為你,lan2 vui2 ngi2,Make someone into trouble
(別)理(他),刮,gat5,(do not) rap to sombody
邀(伴兒),湊,ceu4,Invite
遇見(熟人),遇到,ngi4 dau3,Encounter
看望(病人),探,tam4,To visit the patient
說話,講話,gong3 va4,Speak
撇廣州話,講本地,gong3 bun3 ti4,Speak inCantonese
拍馬屁,捧大腳,bung3 tai4 giok5,Flatter
叮囑,吩咐,fun1 fu4,Warn or urge repeatedly
搭腔,搭嘴,dap5 zoi4,to Answer
插嘴,插嘴,cap5 zoi4,Break into a conversation
呵斥,喝,hot5,Scold
哄騙,撮,cot5,Lie to somebody
完蛋,死咯,si3 lo3,Over
數落,話,va4,scold sb. by enumerating his wrong-doings
(非粗話)罵人,罵人,ma4 ngin2,Scold
(用粗話)罵人,罵人,ma4 ngin2,"Verbal abuse,scold with foul words"
講汙穢話,講爛嘴,gong3 lan4 zoi4,Use abusive words
挨打(被打),分人打,bin1 ngin2 da3,Be beaten
吵架,吵交,cau2 gau1,Quarrel
打架,打交,da3 gau1,Fight
勸架,拆交,cak5 gau1,Mediate
護著(他),幫等,bong1 den3,On one’s side and defend him
給(他),分,bin1,Give (him something)
叫(他來),喊,hiem1,Ask (him to come)
行(應答),做得,zo4 det5,Okay
不錯,唔錯,m1 co4,Quite good
不准(去),唔准,m1 zun3,Not allowed to (go )
唆使,唆,so2,Instigate
頂撞,頂,din3,Contradict somebody
撩撥,撩,liau2,Make mischief between others
合(不來),佮,gap5,Get along with
遷就,就,ciu4,Accommodate someone
回老家,轉鄉下,zon3 hiong1 ha4,Go back hometown
走親戚,邏人客,la2 ngin2 hak5,Visit relatives
沒空兒,冇閒,mau2 han2,Have no time
沒空兒,唔得閒,m1 det5 han2,Have no time
有空兒,得閒,det5 han2,Have time
辦妥(了),辦好,pan4 hau3,Fix something up
辦妥(了),搞掂,gau3 tiam4,Fix something up
走運,行運,hang2 yun4,Have a good luck
倒楣,當衰,dong1 soi1,Have a bad luck
倒楣,行衰運,hang2 soi1 yun4,Have a bad luck (var.)
時興,興,hin1,In fashion
商店,鋪頭,pu4 teu2,Shop
飯館,茶居,ca2 gi1,Restaurant
飯館,飯店,fan4 diam4,Restaurant
旅館,客棧,hak5 can4,Hotel
擺攤兒,擺檔,bai3 dong4,Run a stand in the market
販子,小販,siau3 fan4,Vendor
(生意)旺,好,hau3,(business is) brisk
開張,開張,hoi1 zong1,Open business
盤點,盤點,pan2 diam3,Take and check stock
歇業,打快扒,da3 kai4 pa2,Close the shop
櫃台,櫃台,kui4 toi2,Counter
老闆,侍頭,si4 teu2,Boss
女老闆,侍頭婆,si4 teu2 po2,Female boss or boss’ wife
店員,伙記,fo2 gi4,Shopkeeper
師傅,師傅,su4 fu4,Master
徒弟,徒弟,tu2 ti4,Apprentice
顧客,客,hak5,Customer
還價,講價,gong3 ga4,Bargain
砍價,還價,van2 ga4,Cheapen the price during bargaining (bartering)
降價,跌價,det5 ga4,Price reduction
賒帳,賒,ca2,Buy goods on credit
欠帳,欠賬,kiam4 zong4,Be in debt
要帳,追帳,zui1 zong4,To collect bills overdue
算盤,算盤,son4 pan2,Abacus
秤,秤,cin4,Steelyard
戥子,厘秤,li2 cin4,smaller steelyard
開支,皮費,pi2 fui4,Expense
本錢,本錢,bun3 cien2,Capital for business
合夥,佮份,gap5 fun4,Construct a partnership
湊(錢),斂,liam1,Make a raise
弄(錢),斂,liam1,Manage to raise a fund
錢(概稱),錢,cien2,Money
紙幣,銀紙,ngiun2 zi3,Paper currency
硬幣,硬幣,ngan4 bi4,Coin
整錢,大紙,tai4 zi3,The bill before turning into changes
零錢,散紙,san3 zi3,Change
數(錢),數,su4,Count the cash
找(錢),找,zau3,Give the change
差(一角錢),爭,zang1,Short for (one cent)
利息,利,li4,Interest
掙(錢),賺,can4,Make (money)
虧本,蝕本,set5 bun3,Loss
值得,抵,dai3,Deserve to do
夠秤,夠秤,geu4 cin4,enough weight
不夠秤,唔夠秤,m1 geu4 cin4,Short weight
省(錢),慳,han1,Save money
合算,著數,cok6 su4,Worthwhile
不合算,唔著數,m1 cok6 su4,Unworthwihle
貴,貴,gui4,Expensive
便宜,平,piang2,Cheap
車站,車站,ca1 zam4,Station
碼頭,碼頭,ma1 teu2,Dock
橋,橋,kiau2,Bridge
街,街,gai1,Street
人行道,行人路,hang2 ngin2 lu4,Sidewalk
公路,馬路,ma1 lu4,Road
汽車,汽車,hi4 ca1,Automobile
小轎車,私家車,su1 ga1 ca1,Car
客車,客車,m1 bin1 gi2 hi4 gi1 he4 oi4 hi4,Coach
自行車,單車,dan1 ca1,Bike
人力車,人力車,ngin2 lit6 ca1,Rickshaw
三輪車,三輪車,san1 lin2 ca1,Pedicab
獨輪車,雞公車,gai1 gung1 ca1,Monocycle (wheelbarrow)
車輪子,輪,lin2,Wheel
輪船,火船,fo3 son2,Ship
帆船,帆船,fan2 son2,Sailboat
小船,船仔,son2 zai3,Small boat
汽艇,電船,tien4 son2,Motorboat
竹筏子,竹簰,zuk5 pai2,Bamboo raft
(船)滲水,漏水,leu4 sui3,(the boat) leak
飛機,飛機,fui1 gi1,Plane
乘客,搭客,dap5 hak5,Passenger
路費,水腳,sui3 giok5,Expenses of travelling
車票,車飛,ca1 fui1,Ticket
搭車,搭車,dap5 ca1,By bus
誤(車),宕,tong4,Miss the bus
暈車,暈車,vin2 ca1,Car-sick
座位,座位,co4 vui4,Seat
司機,司機,su1 gi1,Driver
開車,開車,hoi1 ca1,Drive
開車,揸車,za1 ca1,Drive
抬(頭),擔起,dam1 hi3,Raise (one’s head)
低(頭),墜低頭,cui4 dai1 teu2,Bow
點(頭),頷,ngam3,Nod
搖(頭),揈,vin4,Shake one’s head
偏(頭),側,zet5,Slant (the head)
仰(頭),仰,ngong1,Raise up (head)
回(頭),扭轉,ngiu4 zon3,Turn backward
睜(眼),擘,mak5,Open the eyes
閉(眼),霎眯,sap5 mi1,Close the eyes
瞪(眼),瞪大眼,zen4 tai4 ngan3,Glare
眨(眼),囁,ngiap5,Blink
瞥(一眼),瞄,miau2,Glance
(從門縫)看,䁓,zong1,peeking fromacrack
看(書),看,kon4,Read
看守(東西),掌,zong3,Keep an eye on something
聽,聽,tang4,Listen
皺(眉頭),皺,ziu4,Frown
聞(用鼻嗅),鼻,pi4,Smell
嘗,嘗,song2,Taste
張(嘴),擘,mak5,Open (the mouth)
噘(嘴),嘟,lu3,pout
抿(嘴),眯,mi4,Close the mouth tightly
親嘴,斟嘴,zim1 zoi4,Kiss
嚼,嚼,ciau4,Chew
咬,咬,ngau1,Bite
吞,吞,tun1,Swallow
吃,食,sit6,Eat
喝,食,sit6,Drink
吸(奶),啜,zot6,Suck
吸(氣),吸,kip5,Take a breath (inhale)
舔(盤子),舐,se1,Lick
啃(骨頭),咬,ngau1,Gnaw
吐(痰),吐,tu4,Spit
含(在嘴裏),含,ham2,Hold in mouth
銜(在嘴上),銜,ham2,Hold in teeth
噴(飯),噴,pun4,"Spray, spout"
吹(氣),歕,pun2,Blow
哭,叫,giau4,Cry
笑,笑,siau4,Smile
拿,拿,la1,Hold
擰(毛巾),扭,ngiu3,Wring
擰(蓋子),扭,ngiu4,Screw
拉(衣角),拉,lai1,Pull (the garment horn)
拉(車),拉,lai1,Pull (the car)
拉(繩子),牽,kien1,Pull(the string)
扽(兩端同時用力猛一拉),扯,ca3,Yank (hold the two ends and pull tightly)
舉(手),舉,gi3,Put up (hands)
舉(物),擎,kia2,Lift (objects)
拾取,撿,giam3,Pick up
提(水),抽,ciu1,Carry (water)
打撈,撈,lak5,Salvage
劃(火柴),刻,kat6,Strike a match
放(下),放,fong4,Put down
按(圖釘),撳,kim4,Press (the thumbtack)
推,㩳,tui1,Push
(用虎口)掐,夾,kiap6,Pinch something with both hands
(用指甲)掐,浸,kim4,Pinch (with nail)
抱(樹),攬,lam3,Hug (a tree)
抱(小孩),攬,lam3,Carry (the child)
搊(起來)(兩手向上用力托),掇,dot5,Lift something up with both hands
爬(樹),爬,pa2,Climb
(在地上)爬,爬(小孩),pa2,Crawl (Children)
(在地上)爬,???,yen2,"Crawl (Bugs, Slugs, Snakes, etc.)"
撕,撕,su1,Tear
捏,撚,ngien3,Pinch (with fingers)
抓(一把米),扡,ya3,Grab
握(鋤頭),捉,zuk5,Hold
拔(雞毛),撏,ciam2,Pluck (the feathers)
拔(胡須),掹,bang1,Pluck (the beard)
拔(草),扯,ca3,Pull (grass) out
夠(用手努力伸取),探,tam1,To reach
摘,摘,zak5,Pick
折(斷),拗,au3,Snap (break something in two)
(把鐵絲)弄(直),拗,au3,Straighten
掏(口袋),扲,lem2,Draw out (from pocket)
剝(桔子),擘,mak5,Peel an orange
掰(開),擘,mak5,To break apart with both hands
搖(桌子),搖,yau2,Shake (the table)
塞(塞子),卒,zut5,Plug(v.)
摸,摸,mo1,Touch
挑選,揀,gan3,Pick out
掖(進去),攝,ngiap5,Squeeze
揉(傷處),捽,zut6,Knead (the wound)
揉(面),捽,zut6,Knead (the dough)
拍(桌子),拍,pak5,Pat(on the table)
摔(東西),橫,vang4,Throw (things because of anger)
丟失了,跌,diet5,Lose
丟棄,拂,fit5,Abandon
甩(乾衣服),揈,vin4,Whirl and dry (the clothes)
擲(石頭),拂,fit5,Throw (the stone to a target)
擲(石頭),掟,dang1,Throw (the stone to a target)
張(開手),強,kiong1,Open (the arms)
撓(癢),扡,ya3,Scrach
摟(柴火),攬,lam3,Carry with both arms
(用手)托(住),托,tok5,Support something in one’s palm
端(碗),捧,bung3,Carry (the bowl)
捂(住),揞,em1,Cover something with hands
藏(物),屏,biang4,Hide
埋(起來),壅,vung1,Bury (something) up
敲(門),拍,pok5,Knock (the door)
扣(上門),搭,dap5,Bolt (the door)
搧(耳光),拌,pan1,Smack
繫(鞋帶 皮帶),綁(鞋帶),bong3,"Tieor fasten(the shoe string, belt)"
繫(鞋帶 皮帶),繫(皮帶),gai1,"Tieor fasten(the shoe string, belt)"
擦(汗),捽,zut6,Wipe the sweat
擦(去錯字),擦,cat5,Erase (the wrong characters)
戽(水),戽,fu4,To bail out the water
(用肩膀)頂,托,tok5,Lift something up with shoulder
(用石頭)砸,耷,dep6,To smash with stone
(用鞭子)抽,拂,fit6,To Whip
(用木杠)頂(門),頂,din3,Support the door withapole
裹(嚴實？),裹,go3,Wrap around tightly
(把碗)摞(起來放),層,cen4,Pile up
套(被子),筒,tung2,Cover the quilt
刮(豬毛),刮,gat5,Scrape (the hair of pig or other animal)
砍(樹),倒,zam3 (訓讀),Cut (the tree)
揩刀(使刀利),幫,bong1,Make a knife sharper
掏(耳朵),扒,pa2,Pick(the ears)
掏(耳朵),撩,liau1,Pick(the ears)
刻(圖章),挑,tiau1,Carve (a stamp)
(用針)紮,厾,duk5,Prick (with needle)
劈削(樹枝),削,siok5,Chop (branches from the tree)
綑(柴火),綁,bong3,Bundle (firewood) together
綁(口袋),綯,tau2,Tie the bags up
綁(口袋),綁,bong3,Tie the bags up
抓(人),捉,zuk5,Grasp
綁(人),綁,bong3,To bind someone
濾,隔渣,gak5 za1,Filtrate
潷(湯),泌,bi4,Drain something from water
攪拌,攪,gau3,Stir
拌(飯),淘,tau2,Mix and stir
墊(高些),墊,siap5,Put something underneathto raise it up
撣(灰),拍,pok5,Whisk (the dust)
甩(乾水),揈,vin4,toss to get rid of the water
(用水)沖洗,沖,cung1,Wash
(往下)傾倒,順,sun4,Pour
(亂)翻,抄,cau4,Rummage
(用棍子)桶,樋,dung3,To poke (with stick)
挑(上聲),撩,tiau1,To pick up with one end of a stick
招(手),掖,yap6,Wave hand
搓(繩子),捼,lo2,To twist (a rope)
(用雙手)捧,捧,bung3,Hold with both palms
(用石頭)壓(著),磧,zak5,To keep something under
豎(起來),豎,su4,Set upright
蓋(蓋子),冚,kiem2,To cover up
(用手指)摳,扣,keu4,To dig with fingers
(用手指)摳,挖,vet5,To dig with fingers
捋(袖子),捋,lot6,Stroke (the sleeves)
挽(袖子),攝,ngiap6,Roll (the sleeves)
撮(一小撮),執,zep5,Picksome sugar or salt upwith two or three fingers
舀(水),舀,yau3,Bail (ladle water out)
側(一些),側,zet5,Lean a little
搬(東西),搬,ban1,Move
站立,徛,ki1,Stand
踮(腳),蹬,diam4,Tiptoe
蹲,踞,kiu2,Squat
踩,踩,cai3,Trample
踢,踢,tiak5,Kick
走,行,hang2,Walk
跑,走,zeu3,Run
跨,吖,ap6,Stride over
跳,跳,tiau4,Jump
