char,code
堧,ngion2
堨,giet5
堩,gen3
堪,kam1
堬,yi2
堭,fong2
堯,ngiau2
堰,yen3
報,bau4
堲,zit5
場,cong2
堵,du3
堶,to2
塉,zit5
塊,kai4
塋,yin2
塌,tap5
塍,sun2
塏,koi3
塑,su4
塒,si2
塓,met5
塔,tap5
塕,vung3
塗,tu2
塘,tong2
塚,cung3
塞,set5
塞,soi4
塢,vu1
塤,hiun1
填,tien2
塯,liu4
塱,long3
塲,cong2
塵,cin4
塹,ciam4
塺,moi2
塻,mok5
塾,suk6
塿,leu2
塿,leu1
墀,ci2
墁,man4
境,gin3
墅,su4
墆,diet5
墇,zong1
墈,ham4
墉,yung2
墊,tiap6
墊,dien4
墊,siap5
墋,cam3
墐,giun3
墓,mu4
墘,kien2
墜,cui4
墜,diet5
墝,kau1
增,zen1
墟,hi1
墠,sien4
墡,sien4
墣,pok5
墦,fan2
墨,met6
墩,dun1
墫,zun1
墮,to4
墱,den4
墳,fun2
墻,siong2
墼,git5
墾,ken3
壁,biak5
壅,vung1
壅,yung4
壆,bok5
壇,tan2
壈,lam3
壎,hiun1
壑,kok5
壒,ai4
壓,ap5
壓,ep5
壔,dau3
壕,hau2
壖,ngion1
壘,lui3
壙,kong3
壚,lu2
壝,vui3
壞,fai4
壟,lung1
壢,lak5
壢,lak6
壤,yong4
壩,ba4
士,su4
士,si3
壬,ngim2
壯,zong4
壹,yit5
壺,fu2
壼,kun3
壽,siu4
壿,zun1
夆,fung2
复,fuk5
夎,co4
夏,ha4
夕,sit6
外,ngoi4
夗,yen3
夙,suk5
多,do1
夜,ya4
夠,geu4
夢,mung4
夤,yin2
夥,fo3
大,tai4
天,tien1
太,tai4
夫,fu1
夬,gai4
夭,yau1
央,yong1
失,sit5
夷,yi2
夸,ka1
夾,kiap6
奀,ngan1
奄,yam1
奅,pau4
奇,ki2
奈,lai4
奉,fung4
奎,kui2
奏,zeu4
奐,fon4
契,ke4
奓,ca1
奔,bun1
奕,yit6
套,tau4
奘,zong4
奚,hi1
奜,fui3
奠,tien4
奡,ngau4
奢,ca1
奧,au4
奩,liam2
奪,tot6
奫,vun1
奭,sit5
奮,fun3
奰,bi4
女,ngi3
女,ng3
奴,lu2
奶,lai1
奸,gan1
她,ta1
奼,ca4
好,hau3
好,hau4
妁,zok5
如,yi2
妃,fui1
妄,mong3
妊,ngim4
妍,ngien2
妎,gai4
妒,du4
妓,gi3
妖,yau1
妗,kim1
妘,yun2
妙,miau4
妝,zong1
妞,ngiu3
妠,lap6
妣,bi3
妤,yi2
妥,to3
妧,ngan4
妨,fong2
妮,li2
妯,cuk6
妲,dat5
妳,li1
妳,lai1
妹,moi4
妺,mat6
妻,ci1
妾,ciap5
姁,hi3
姃,zin1
姅,ban4
姆,mu1
姊,zi3
始,ci3
姍,san1
姐,zia3
姑,gu1
姒,su4
姓,siang4
委,vui1
姗,san1
姘,pin1
姚,yau2
姛,tung4
姜,giong1
姞,giet5
姣,gau3
姤,geu4
姥,lau3
姦,gan1
姨,yi2
姪,cit6
姬,gi1
姮,hen2
姱,ka1
姶,hap6
姷,yiu4
姺,sin1
姻,yin1
姼,ci3
姿,zu1
威,vui1
娃,va1
娉,pin4
娊,hien4
娌,li3
娑,so1
娓,mui3
娕,cuk5
娖,cuk5
娘,ngiong2
娙,gang4
娛,ngu2
娜,lo2
娟,gien1
娠,sin2
娣,tai1
娥,ngo2
娩,van3
娭,oi1
娵,zeu1
娶,ci3
娸,ki2
娼,cong1
婀,o3
婁,leu2
婆,po2
婉,von3
婊,biau3
婐,vo3
婓,pui2
婕,ciap6
婚,fun1
婢,pi1
婥,sok5
婦,fu4
婦,bu1
婧,ciang4
婩,ngan4
婪,lam2
婬,yim2
婭,a4
婷,tin2
婸,tong4
婺,vu4
婼,sok5
婿,se4
媊,cien2
媌,mau2
媒,moi2
媓,fong2
媚,mi4
媛,yen4
媞,ti2
媟,siet5
媢,mau4
媦,vui4
媧,vo1
媮,yi2
媰,co1
媱,yau2
媲,pi4
媳,sit5
媵,yin3
媸,ci1
媺,mi3
媻,pan2
媼,vun3
媽,ma1
媾,geu4
媿,kui3
嫁,ga4
嫂,sau3
嫄,ngien2
嫇,men2
嫈,yin1
嫉,cit6
嫋,ngiau3
嫌,hiam2
嫕,yi4
嫖,piau2
嫗,yi3
嫘,lui2
嫚,man4
嫜,zong1
嫠,li2
嫡,dit5
嫢,gui1
嫣,yen1
嫥,zon1
嫦,song2
嫩,lun4
嫪,lau4
嫭,fu4
嫮,fu4
嫲,ma2
嫳,pet5
嫵,vu3
嫻,han2
嫽,liau2
嬇,kui4
嬈,ngiau2
嬉,hi1
嬋,sam2
嬌,giau1
嬖,pit5
嬗,sam2
嬙,siong2
嬝,liau3
嬤,mo2
嬥,tiau3
嬪,pin2
嬭,lai1
嬭,len4
嬮,yam1
嬰,yin1
嬲,liau1
嬴,yang2
嬸,sim3
孀,song1
孃,ngiong2
孅,siam1
孋,li2
孌,lan2
孎,zuk5
子,zu3
子,zu1
孑,giet5
孓,kiet5
孔,kung3
孕,yin3
孖,ma1
孖,zu1
字,su4
存,sun2
孚,fu1
孛,pat6
孜,zu1
孝,hau4
孟,men4
季,gui4
孤,gu1
孥,lu2
孩,hai2
孫,sun1
孬,vai4
孭,ba2
孰,suk6
孱,can2
孳,zu1
孵,fu1
學,hok6
孺,yi2
孻,lai1
孽,ngiet6
孿,lien2
宁,cu1
宁,len2
宂,yung3
它,ta1
宄,gui3
宅,cak6
宇,yi3
守,siu3
安,on1
宋,sung4
完,van2
完,yen2
宏,fen2
宓,met6
宓,fuk6
宕,tong4
宗,zung1
官,gon1
宙,ciu4
定,tin4
定,din2
宛,von3
宜,li2
客,hak5
宣,sien1
室,sit5
宥,yiu4
宦,fan4
宬,sin2
宮,giung1
宰,zai3
害,hoi4
宴,yen4
宵,siau1
家,ga1
容,yung2
宿,suk5
寀,cai3
寁,zam3
寂,cit5
寄,gi4
寅,yin2
密,mit6
寇,keu4
寋,kien3
富,fu4
寍,len2
寎,biang4
寐,mui4
寒,hon2
寓,ngi4
寔,sit6
寖,zim4
寞,mok5
察,cat5
寡,ga3
寢,cim3
寤,ngu4
寥,liau2
實,sit6
寧,len2
寨,cai4
審,sim3
寪,vui3
寫,sia3
寬,kon1
寮,liau2
寰,fan2
寱,ngi4
寵,cung3
寶,bau3
寸,cun4
寺,su4
封,fung1
尃,fu1
射,sa4
射,ya4
射,yit6
將,ziong1
將,ziong4
專,zon1
尉,vui3
尊,zun1
尋,cim2
對,dui4
導,tau3
小,siau3
少,sau3
少,sau4
尒,li3
尖,ziam1
尚,song4
尢,vong1
尤,yiu2
尥,liau4
尪,vong1
尬,gai4
尰,zung3
就,ciu4
尷,gam1
尸,si1
尹,yun3
尺,cak5
尻,kau1
尼,li2
尾,mui1
尿,ngiau4
局,kiuk6
屁,pi4
屄,biet5
居,gi1
屆,gai4
屈,kiut5
屈,vut5
屋,vuk5
屌,diau3
屍,si1
屎,si3
屏,pin2
屏,piang2
屏,bin3
屏,biang4
屐,kiak6
屑,siet5
展,zien3
屙,o1
屜,ti4
屝,fui1
屠,tu2
屢,li1
屣,sai3
層,cen2
層,cen4
履,li1
屧,siet5
屨,gi4
屩,giok5
屪,liau2
屬,suk6
屬,zuk5
屭,hi4
屮,ciet5
屯,tun2
山,san1
屴,lit6
屹,ngiet5
屺,hi3
屼,ngut5
岉,vut5
岊,ziet5
岌,kip5
岐,ki1
岑,cem2
岔,ca4
岠,ki3
岡,gong1
岣,geu3
岦,lip6
岧,tiau2
岨,zu3
岩,ngam2
岫,ciu4
岬,gap5
岱,toi4
岳,ngok6
岵,fu4
岷,min2
岸,ngan4
峇,ba1
峋,sun2
峐,goi1
峒,tung2
峓,yi2
峗,ngui2
峘,fon2
峙,si4
峨,ngo2
峪,yuk6
峭,ciau4
峰,fung1
峱,lau2
峴,hien4
島,dau3
峹,tu2
峻,zun4
峽,hiap6
峿,ng2
崁,kam4
崆,kung1
崇,cung2
崋,fa2
崌,gi1
崍,loi2
崎,ki1
崑,kun1
崒,zut5
崔,cui1
崖,ngai2
崗,gong1
崙,lun2
崚,lin2
崛,kiut5
崞,gok5
崟,ngim2
崢,zen1
崤,ngau2
崥,bi3
崥,pi2
崦,yam1
崩,ben1
崱,zet5
崴,vui1
崵,tong4
崵,yong2
崶,fung1
崽,zai3
崿,ngok6
嵁,kam1
