# Mandarin character frequency data (auto-generated — do not edit)
# Sources: hanzicraft.com/lists/frequency + Wiktionary Mandarin top-1000
# Format: char TAB pseudo-frequency (= 100000 // rank)
# Regenerate: python build/fetch_mandarin_ranks.py
#
秘	111
谢	111
鲁	111
遇	111
康	111
虑	111
幸	111
均	110
销	110
钟	110
诗	110
藏	110
赶	110
剧	110
票	110
损	110
忽	109
巨	109
炮	109
旧	109
端	109
探	109
湖	109
录	109
叶	108
春	108
乡	108
附	108
吸	108
予	108
礼	108
港	108
雨	107
呀	107
板	107
庭	107
妇	107
归	107
睛	107
饭	107
额	107
含	106
顺	106
输	106
摇	106
招	106
婚	106
脱	106
补	106
谓	106
督	105
毒	105
油	105
疗	105
旅	105
泽	105
材	105
灭	105
逐	105
莫	104
笔	104
亡	104
鲜	104
词	104
圣	104
择	104
寻	104
厂	104
睡	103
博	103
勒	103
烟	103
授	103
诺	103
伦	103
岸	103
奥	103
唐	102
卖	102
俄	102
炸	102
载	102
洛	102
健	102
堂	102
旁	102
宫	102
喝	101
借	101
君	101
禁	101
阴	101
园	101
谋	101
宋	101
避	101
抓	101
荣	100
姑	100
孙	100
逃	100
牙	100
束	100
跳	100
顶	100
玉	100
镇	100
雪	99
午	99
练	99
迫	99
爷	99
篇	99
肉	99
嘴	99
馆	99
遍	99
凡	98
础	98
洞	98
卷	98
坦	98
牛	98
宁	98
纸	98
诸	98
训	98
私	97
庄	97
祖	97
丝	97
翻	97
暴	97
森	97
塔	97
默	97
握	97
戏	96
隐	96
熟	96
骨	96
访	96
弱	96
蒙	96
歌	96
店	96
鬼	96
软	96
典	95
欲	95
萨	95
伙	95
遭	95
盘	95
爸	95
扩	95
盖	95
弄	95
雄	95
稳	94
忘	94
亿	94
刺	94
拥	94
徒	94
姆	94
杨	94
齐	94
赛	94
趣	94
曲	93
刀	93
床	93
迎	93
冰	93
虚	93
玩	93
析	93
窗	93
醒	93
妻	93
透	93
购	92
替	92
塞	92
努	92
休	92
虎	92
扬	92
途	92
侵	92
刑	92
绿	92
兄	91
迅	91
套	91
贸	91
毕	91
唯	91
谷	91
轮	91
库	91
迹	91
尤	91
竞	91
街	90
促	90
延	90
震	90
弃	90
甲	90
伟	90
麻	90
川	90
申	90
缓	90
潜	90
闪	90
售	89
灯	89
针	89
哲	89
络	89
抵	89
朱	89
埃	89
抱	89
鼓	89
植	89
纯	89
夏	88
忍	88
页	88
杰	88
筑	88
折	88
郑	88
贝	88
尊	88
吴	88
秀	88
混	88
臣	88
雅	87
振	87
染	87
盛	87
怒	87
舞	87
圆	87
搞	87
狂	87
措	87
姓	87
残	87
秋	87
培	86
迷	86
诚	86
宽	86
宇	86
猛	86
摆	86
梅	86
毁	86
伸	86
摩	86
盟	86
末	86
乃	85
悲	85
拍	85
丁	85
赵	85
硬	85
麦	85
蒋	85
操	85
耶	85
阻	85
订	85
彩	85
抽	85
赞	84
魔	84
纷	84
沿	84
喊	84
违	84
妹	84
浪	84
汇	84
币	84
丰	84
蓝	84
殊	84
献	84
桌	83
啦	83
瓦	83
莱	83
援	83
译	83
夺	83
汽	83
烧	83
距	83
裁	83
偏	83
符	83
勇	83
触	82
课	82
敬	82
哭	82
懂	82
墙	82
袭	82
召	82
罚	82
侠	82
厅	82
拜	82
巧	82
侧	82
韩	82
冒	81
债	81
曼	81
融	81
惯	81
享	81
戴	81
童	81
犹	81
乘	81
挂	81
奖	81
绍	81
厚	81
纵	81
障	80
讯	80
涉	80
彻	80
刊	80
丈	80
爆	80
乌	80
役	80
描	80
洗	80
玛	80
患	80
妙	80
镜	80
唱	80
烦	79
签	79
仙	79
彼	79
弗	79
症	79
仿	79
倾	79
牌	79
陷	79
鸟	79
轰	79
咱	79
菜	79
闭	79
奋	78
庆	78
撤	78
泪	78
茶	78
疾	78
缘	78
播	78
朗	78
杜	78
奶	78
季	78
丹	78
狗	78
尾	78
仪	78
偷	78
奔	77
珠	77
虫	77
驻	77
孔	77
宜	77
艾	77
桥	77
淡	77
翼	77
恨	77
繁	77
寒	77
伴	77
叹	77
旦	77
愈	76
潮	76
粮	76
缩	76
罢	76
聚	76
径	76
恰	76
挑	76
袋	76
灰	76
捕	76
徐	76
珍	76
幕	76
映	76
裂	76
泰	75
隔	75
启	75
尖	75
忠	75
累	75
炎	75
暂	75
估	75
泛	75
荒	75
偿	75
横	75
拒	75
瑞	75
忆	75
孤	75
鼻	75
闹	74
羊	74
呆	74
厉	74
衡	74
胞	74
零	74
穷	74
舍	74
码	74
赫	74
婆	74
魂	74
灾	74
洪	74
腿	74
胆	74
津	74
俗	73
辩	73
胸	73
晓	73
劲	73
贫	73
仁	73
偶	73
辑	73
邦	73
恢	73
赖	73
圈	73
摸	73
仰	73
润	73
堆	73
碰	73
艇	72
稍	72
迟	72
辆	72
废	72
净	72
凶	72
署	72
壁	72
御	72
奉	72
旋	72
冬	72
矿	72
抬	72
蛋	72
晨	72
伏	72
吹	72
鸡	71
倍	71
糊	71
秦	71
盾	71
杯	71
租	71
骑	71
乏	71
隆	71
诊	71
奴	71
摄	71
丧	71
污	71
渡	71
旗	71
甘	71
耐	71
凭	71
扎	70
抢	70
绪	70
粗	70
肩	70
梁	70
幻	70
菲	70
皆	70
碎	70
宙	70
叔	70
岩	70
荡	70
综	70
爬	70
荷	70
悉	70
蒂	70
返	70
井	69
壮	69
薄	69
悄	69
扫	69
敏	69
碍	69
殖	69
详	69
迪	69
矛	69
霍	69
允	69
幅	69
撒	69
剩	69
凯	69
颗	69
骂	69
赏	69
液	69
番	68
箱	68
贴	68
漫	68
酸	68
郎	68
腰	68
舒	68
眉	68
忧	68
浮	68
辛	68
恋	68
餐	68
吓	68
挺	68
励	68
辞	68
艘	68
键	68
伍	68
峰	67
尺	67
昨	67
黎	67
辈	67
贯	67
侦	67
滑	67
券	67
崇	67
扰	67
宪	67
绕	67
趋	67
慈	67
乔	67
阅	67
汗	67
枝	67
拖	67
墨	67
胁	67
插	66
箭	66
腊	66
粉	66
泥	66
氏	66
彭	66
拔	66
骗	66
凤	66
慧	66
媒	66
佩	66
愤	66
扑	66
龄	66
驱	66
惜	66
豪	66
掩	66
兼	66
跃	66
尸	66
肃	65
帕	65
驶	65
堡	65
届	65
欣	65
惠	65
册	65
储	65
飘	65
桑	65
闲	65
惨	65
洁	65
踪	65
勃	65
宾	65
频	65
仇	65
磨	65
递	65
邪	65
撞	65
拟	64
滚	64
奏	64
巡	64
颜	64
剂	64
绩	64
贡	64
疯	64
坡	64
瞧	64
截	64
燃	64
焦	64
殿	64
伪	64
柳	64
锁	64
逼	64
颇	64
昏	64
劝	64
呈	64
搜	64
勤	63
戒	63
驾	63
漂	63
饮	63
曹	63
朵	63
仔	63
柔	63
俩	63
孟	63
腐	63
幼	63
践	63
籍	63
牧	63
凉	63
牲	63
佳	63
娜	63
浓	63
芳	63
稿	63
竹	63
腹	63
跌	62
逻	62
垂	62
遵	62
脉	62
貌	62
柏	62
狱	62
猜	62
怜	62
惑	62
陶	62
兽	62
帐	62
饰	62
贷	62
昌	62
叙	62
躺	62
钢	62
沟	62
寄	62
扶	62
铺	62
邓	62
寿	61
惧	61
询	61
汤	61
盗	61
肥	61
尝	61
匆	61
辉	61
奈	61
扣	61
廷	61
澳	61
嘛	61
董	61
迁	61
凝	61
慰	61
厌	61
脏	61
腾	61
幽	61
怨	61
鞋	61
丢	61
埋	61
泉	61
涌	60
辖	60
躲	60
晋	60
紫	60
艰	60
魏	60
吾	60
慌	60
祝	60
邮	60
吐	60
狠	60
鉴	60
曰	60
械	60
咬	60
邻	60
赤	60
挤	60
弯	60
椅	60
陪	60
割	60
揭	60
韦	60
悟	60
聪	59
雾	59
锋	59
梯	59
猫	59
祥	59
阔	59
誉	59
筹	59
丛	59
牵	59
鸣	59
沈	59
阁	59
穆	59
屈	59
旨	59
袖	59
猎	59
臂	59
蛇	59
贺	59
柱	59
抛	59
鼠	59
瑟	59
戈	59
牢	59
逊	58
迈	58
欺	58
吨	58
琴	58
衰	58
瓶	58
恼	58
燕	58
仲	58
诱	58
狼	58
池	58
疼	58
卢	58
仗	58
冠	58
粒	58
遥	58
吕	58
玄	58
尘	58
冯	58
抚	58
浅	58
敦	58
纠	58
钻	58
晶	58
岂	58
峡	57
苍	57
喷	57
耗	57
凌	57
敲	57
菌	57
赔	57
涂	57
粹	57
扁	57
亏	57
寂	57
煤	57
熊	57
恭	57
湿	57
循	57
暖	57
糖	57
赋	57
抑	57
秩	57
帽	57
哀	57
宿	57
踏	57
烂	57
袁	57
侯	57
抖	56
夹	56
昆	56
肝	56
擦	56
猪	56
炼	56
恒	56
慎	56
搬	56
纽	56
纹	56
玻	56
渔	56
磁	56
铜	56
齿	56
跨	56
押	56
怖	56
漠	56
疲	56
叛	56
遣	56
兹	56
祭	56
醉	56
拳	56
弥	56
斜	56
档	56
稀	55
捷	55
肤	55
疫	55
肿	55
豆	55
削	55
岗	55
晃	55
吞	55
宏	55
癌	55
肚	55
隶	55
履	55
涨	55
耀	55
扭	55
坛	55
拨	55
沃	55
绘	55
伐	55
堪	55
仆	55
郭	55
牺	55
歼	55
墓	55
雇	55
廉	55
契	55
拼	55
惩	54
捉	54
刷	54
劫	54
嫌	54
瓜	54
歇	54
雕	54
闷	54
乳	54
串	54
娃	54
缴	54
唤	54
赢	54
莲	54
霸	54
桃	54
妥	54
瘦	54
搭	54
赴	54
岳	54
嘉	54
舱	54
俊	54
址	54
庞	54
耕	54
锐	54
缝	54
悔	54
邀	54
玲	53
惟	53
斥	53
宅	53
添	53
挖	53
呵	53
讼	53
氧	53
浩	53
羽	53
斤	53
酷	53
掠	53
妖	53
祸	53
侍	53
乙	53
妨	53
贪	53
挣	53
汪	53
尿	53
莉	53
悬	53
唇	53
翰	53
仓	53
轨	53
枚	53
盐	53
览	53
傅	53
帅	53
庙	53
芬	52
屏	52
寺	52
胖	52
璃	52
愚	52
滴	52
疏	52
萧	52
姿	52
颤	52
丑	52
劣	52
柯	52
寸	52
扔	52
盯	52
辱	52
匹	52
俱	52
辨	52
饿	52
蜂	52
哦	52
腔	52
郁	52
溃	52
谨	52
糟	52
葛	52
苗	52
肠	52
忌	52
溜	52
鸿	52
爵	52
鹏	52
鹰	51
笼	51
丘	51
桂	51
滋	51
聊	51
挡	51
纲	51
肌	51
茨	51
壳	51
痕	51
碗	51
穴	51
膀	51
卓	51
贤	51
卧	51
膜	51
毅	51
锦	51
欠	51
哩	51
函	51
茫	51
昂	51
薛	51
皱	51
